chiave	tipo	testo_it	nota_contesto	en	fr	de	es	pt	ru	sq	ro	hi	pa	bn	sr	hr	tr	fa	ps	tl	pl	uk	zh	ar	ur
page_title	common	Informazioni per iscrizioni	Titolo pagina.	Registration information	Informations d'inscription	Anmeldeinformationen	Información de registro	Informações de registro	Регистрационная информация	Informacioni i regjistrimit	Informații de înregistrare	पंजीकरण की जानकारी	ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਜਾਣਕਾਰੀ	নিবন্ধন তথ্য	Информације о регистрацији	Podaci o registraciji	Kayıt bilgileri	اطلاعات ثبت نام	د ثبت معلومات	Impormasyon sa pagpaparehistro	Informacje rejestracyjne	Реєстраційна інформація	注册信息	معلومات التسجيل	رجسٹریشن کی معلومات
language	common	Lingua	Etichetta selezione lingua.	Tongue	Langue	Zunge	Lengua	Língua	Язык	Gjuha	Limba	जीभ	ਜੀਭ	জিহ্বা	Језик	Jezik	Dil	زبان	ژبه	Dila	Język	язик	舌头	لسان	زبان
official_notice	common	Questa e' una traduzione di cortesia della comunicazione inviata dalla scuola. Il testo ufficiale e' quello in lingua italiana.	Avviso legal/istituzionale.	This is a courtesy translation of the communication sent by the school. The official text is in Italian.	Il s'agit d'une traduction gratuite de la communication envoyée par l'école. Le texte officiel est en italien.	Dies ist eine freundliche Übersetzung der von der Schule gesendeten Mitteilung. Der offizielle Text ist auf Italienisch.	Esta es una traducción de cortesía de la comunicación enviada por la escuela. El texto oficial está en italiano.	Esta é uma tradução cortesia da comunicação enviada pela escola. O texto oficial está em italiano.	Это любезный перевод сообщения, отправленного школой. Официальный текст на итальянском языке.	Ky është një përkthim me mirësjellje i komunikimit të dërguar nga shkolla. Teksti zyrtar është në italisht.	Aceasta este o traducere de curtoazie a comunicării trimise de școală. Textul oficial este în italiană.	यह विद्यालय द्वारा भेजे गए संचार का सौजन्य अनुवाद है। आधिकारिक पाठ इतालवी में है.	ਇਹ ਸਕੂਲ ਦੁਆਰਾ ਭੇਜੇ ਗਏ ਸੰਚਾਰ ਦਾ ਸ਼ਿਸ਼ਟਾਚਾਰ ਅਨੁਵਾਦ ਹੈ। ਅਧਿਕਾਰਤ ਟੈਕਸਟ ਇਤਾਲਵੀ ਵਿੱਚ ਹੈ।	এটি স্কুলের পাঠানো যোগাযোগের সৌজন্য অনুবাদ। অফিসিয়াল টেক্সট ইতালীয় ভাষায়।	Ово је љубазни превод комуникације коју је послала школа. Званични текст је на италијанском језику.	Ovo je uslužni prijevod komunikacije koju je poslala škola. Službeni tekst je na talijanskom jeziku.	Bu, okul tarafından gönderilen yazışmanın nezaketen tercümesidir. Resmi metin İtalyancadır.	این یک ترجمه محترمانه از ارتباط ارسال شده توسط مدرسه است. متن رسمی به زبان ایتالیایی است.	دا د مکتب لخوا لیږل شوي مخابراتي ژباړه ده. رسمي متن په ایټالیا کې دی.	Ito ay isang courtesy translation ng komunikasyong ipinadala ng paaralan. Ang opisyal na teksto ay nasa Italyano.	To jest grzecznościowe tłumaczenie korespondencji przesłanej przez szkołę. Oficjalny tekst jest w języku włoskim.	Це ввічливий переклад повідомлення, надісланого школою. Офіційний текст італійською мовою.	这是学校发送的通讯的礼貌翻译。官方文本为意大利语。	هذه ترجمة مجاملة للرسالة التي أرسلتها المدرسة. النص الرسمي باللغة الإيطالية.	یہ اسکول کی طرف سے بھیجے گئے مواصلات کا بشکریہ ترجمہ ہے۔ سرکاری متن اطالوی زبان میں ہے۔
personal_link_notice	common	Per accedere alla pratica personale utilizzare il link ricevuto nella mail.	Avviso privacy: nessun link personale nella pagina pubblica.	To access your personal file, use the link received in the email.	Pour accéder à votre dossier personnel, utilisez le lien reçu dans l'e-mail.	Um auf Ihre persönliche Datei zuzugreifen, verwenden Sie den in der E-Mail erhaltenen Link.	Para acceder a su archivo personal, utilice el enlace recibido en el correo electrónico.	Para acessar seu arquivo pessoal, utilize o link recebido no e-mail.	Чтобы получить доступ к своему личному файлу, используйте ссылку, полученную в электронном письме.	Për të hyrë në skedarin tuaj personal, përdorni lidhjen e marrë në email.	Pentru a vă accesa fișierul personal, utilizați linkul primit în e-mail.	अपनी व्यक्तिगत फ़ाइल तक पहुँचने के लिए, ईमेल में प्राप्त लिंक का उपयोग करें।	ਆਪਣੀ ਨਿੱਜੀ ਫਾਈਲ ਤੱਕ ਪਹੁੰਚ ਕਰਨ ਲਈ, ਈਮੇਲ ਵਿੱਚ ਪ੍ਰਾਪਤ ਲਿੰਕ ਦੀ ਵਰਤੋਂ ਕਰੋ।	আপনার ব্যক্তিগত ফাইল অ্যাক্সেস করতে, ইমেলে প্রাপ্ত লিঙ্কটি ব্যবহার করুন।	Да бисте приступили свом личном фајлу, користите везу примљену у е-поруци.	Za pristup svojoj osobnoj datoteci koristite poveznicu koju ste dobili u e-poruci.	Kişisel dosyanıza erişmek için e-postada alınan bağlantıyı kullanın.	برای دسترسی به فایل شخصی خود از لینک دریافت شده در ایمیل استفاده کنید.	خپل شخصي فایل ته د لاسرسي لپاره ، په بریښنالیک کې ترلاسه شوي لینک وکاروئ.	Upang ma-access ang iyong personal na file, gamitin ang link na natanggap sa email.	Aby uzyskać dostęp do swoich akt osobowych, skorzystaj z linku otrzymanego w wiadomości e-mail.	Щоб отримати доступ до особистого файлу, скористайтеся посиланням, отриманим в електронному листі.	要访问您的个人文件，请使用电子邮件中收到的链接。	للوصول إلى ملفك الشخصي، استخدم الرابط الذي تلقيته في البريد الإلكتروني.	اپنی ذاتی فائل تک رسائی کے لیے، ای میل میں موصول ہونے والا لنک استعمال کریں۔
email_subject_prime	prime	Regolarizzazione domanda di iscrizione al primo anno della scuola superiore per anno scolastico 2026/2027	Oggetto mail classi prime.	Regularization of the application for enrollment in the first year of high school for the 2026/2027 school year	Régularisation de la demande d'inscription en première année de lycée pour l'année scolaire 2026/2027	Regelung des Antrags auf Einschreibung in das erste Jahr des Gymnasiums für das Schuljahr 2026/2027	Regularización de la solicitud de matrícula de primer año de bachillerato para el curso escolar 2026/2027	Regularização do pedido de matrícula no primeiro ano do ensino secundário para o ano letivo 2026/2027	Оформление заявления о зачислении на первый курс средней школы на 2026/2027 учебный год	Rregullimi i aplikimit për regjistrim në vitin e parë të shkollës së mesme për vitin shkollor 2026/2027	Regularizarea cererii de înscriere în anul I de liceu pentru anul școlar 2026/2027	2026/2027 स्कूल वर्ष के लिए हाई स्कूल के प्रथम वर्ष में नामांकन के लिए आवेदन का नियमितीकरण	2026/2027 ਸਕੂਲੀ ਸਾਲ ਲਈ ਹਾਈ ਸਕੂਲ ਦੇ ਪਹਿਲੇ ਸਾਲ ਵਿੱਚ ਦਾਖਲੇ ਲਈ ਅਰਜ਼ੀ ਨੂੰ ਨਿਯਮਤ ਕਰਨਾ	2026/2027 স্কুল বছরের জন্য উচ্চ বিদ্যালয়ের প্রথম বর্ষে তালিকাভুক্তির জন্য আবেদনের নিয়মিতকরণ	Регулисање пријаве за упис у прву годину средње школе за школску 2026/2027.	Regulacija prijave za upis u prvi razred srednje škole za školsku godinu 2026./2027.	2026/2027 eğitim-öğretim yılı için lise 1. sınıfa kayıt başvurusunun düzenlenmesi	تنظیم درخواست ثبت نام در سال اول دبیرستان برای سال تحصیلی 2026/2027	د 2026/2027 ښوونځي کال لپاره د عالي ښوونځي په لومړي کال کې د نوم لیکنې لپاره د غوښتنلیک تنظیم کول	Regularisasyon ng aplikasyon para sa pagpapatala sa unang taon ng mataas na paaralan para sa taong pampaaralan 2026/2027	Uregulowanie wniosku o wpis do I klasy liceum na rok szkolny 2026/2027	Упорядкування заяви про зарахування на перший курс старшої школи на 2026/2027 навчальний рік	2026/2027学年高中一年级入学申请正规化	تقنين طلب الالتحاق بالصف الأول الثانوي للعام الدراسي 2026/2027	2026/2027 تعلیمی سال کے لیے ہائی اسکول کے پہلے سال میں اندراج کے لیے درخواست کو باقاعدہ بنانا
email_subject_terze	terze	Regolarizzazione domanda di iscrizione al terzo anno della scuola superiore per anno scolastico 2026/2027	Oggetto mail classi terze esterni.	Regularization of the application for enrollment in the third year of high school for the 2026/2027 school year	Régularisation de la demande d'inscription en troisième année de lycée pour l'année scolaire 2026/2027	Regularisierung des Antrags auf Einschreibung in das dritte Jahr des Gymnasiums für das Schuljahr 2026/2027	Regularización de la solicitud de matrícula de tercer año de secundaria para el curso escolar 2026/2027	Regularização do pedido de matrícula no terceiro ano do ensino secundário para o ano letivo 2026/2027	Оформление заявления о зачислении на третий курс средней школы на 2026/2027 учебный год	Rregullimi i aplikimit për regjistrim në vitin e tretë të shkollës së mesme për vitin shkollor 2026/2027	Regularizarea cererii de înscriere în anul III de liceu pentru anul școlar 2026/2027	2026/2027 स्कूल वर्ष के लिए हाई स्कूल के तीसरे वर्ष में नामांकन के लिए आवेदन का नियमितीकरण	2026/2027 ਸਕੂਲੀ ਸਾਲ ਲਈ ਹਾਈ ਸਕੂਲ ਦੇ ਤੀਜੇ ਸਾਲ ਵਿੱਚ ਦਾਖਲੇ ਲਈ ਅਰਜ਼ੀ ਨੂੰ ਨਿਯਮਤ ਕਰਨਾ	2026/2027 স্কুল বছরের জন্য উচ্চ বিদ্যালয়ের তৃতীয় বর্ষে তালিকাভুক্তির জন্য আবেদনের নিয়মিতকরণ	Регулисање пријаве за упис у ИИИ годину средње школе за школску 2026/2027.	Regulacija prijave za upis u treći razred srednje škole za školsku godinu 2026./2027.	2026/2027 eğitim-öğretim yılı için lise üçüncü sınıfa kayıt başvurusunun düzenlenmesi	تنظیم درخواست ثبت نام در سال سوم دبیرستان برای سال تحصیلی 2026/2027	د 2026/2027 ښوونیز کال لپاره د عالي لیسې په دریم کال کې د نوم لیکنې لپاره د غوښتنلیک تنظیم کول	Regularisasyon ng aplikasyon para sa pagpapatala sa ikatlong taon ng mataas na paaralan para sa taong pampaaralan 2026/2027	Uregulowanie wniosku o wpis do klasy III liceum na rok szkolny 2026/2027	Упорядкування заяви про зарахування на ІІІ курс старшої школи на 2026/2027 навчальний рік	2026/2027学年高三入学申请正规化	تقنين طلب الالتحاق بالصف الثالث الثانوي للعام الدراسي 2026/2027	2026/2027 تعلیمی سال کے لیے ہائی اسکول کے تیسرے سال میں اندراج کے لیے درخواست کو باقاعدہ بنانا
greeting	common	Gentile famiglia,	Saluto iniziale mail.	Dear family,	Chère famille,	Liebe Familie,	Querida familia,	Querida família,	Дорогая семья,	E dashur familje,	Draga familie,	प्रिय परिवार,	ਪਿਆਰੇ ਪਰਿਵਾਰ,	প্রিয় পরিবার,	драга породица,	Draga obitelji,	Sevgili ailem,	خانواده محترم	ګرانې کورنۍ،	Mahal na pamilya,	Droga rodzino,	Шановна родино,	亲爱的家人，	عائلتي العزيزة،	پیارے خاندان،
prime_intro	prime	per completare la regolarizzazione della domanda di iscrizione al primo anno della scuola superiore per anno scolastico 2026/2027 e' necessario verificare i dati anagrafici inseriti in fase di iscrizione e caricare la documentazione richiesta tramite GestOre.	Primo paragrafo mail prime.	to complete the regularization of the application for enrollment in the first year of high school for the 2026/2027 school year it is necessary to verify the personal data entered during registration and upload the required documentation via GestOre.	pour finaliser la régularisation de la demande d'inscription en première année de lycée pour l'année scolaire 2026/2027, il est nécessaire de vérifier les données personnelles saisies lors de l'inscription et de télécharger la documentation requise via GestOre.	Um die Regularisierung des Antrags auf Einschreibung in das erste Jahr des Gymnasiums für das Schuljahr 2026/2027 abzuschließen, ist es notwendig, die bei der Registrierung eingegebenen persönlichen Daten zu überprüfen und die erforderlichen Unterlagen über GestOre hochzuladen.	Para completar la regularización de la solicitud de matrícula de primer año de bachillerato para el curso escolar 2026/2027 es necesario verificar los datos personales ingresados ​​durante la matrícula y cargar la documentación requerida a través de GestOre.	para concluir a regularização do pedido de matrícula no primeiro ano do ensino secundário para o ano letivo 2026/2027 é necessário verificar os dados pessoais inseridos durante a inscrição e fazer o upload da documentação exigida via GestOre.	Для завершения оформления заявления о зачислении на первый курс средней школы на 2026/2027 учебный год необходимо проверить введенные при регистрации персональные данные и загрузить необходимую документацию через GestOre.	për të përfunduar rregullimin e aplikimit për regjistrim në vitin e parë të shkollës së mesme për vitin shkollor 2026/2027 është i nevojshëm verifikimi i të dhënave personale të futura gjatë regjistrimit dhe ngarkimi i dokumentacionit të kërkuar nëpërmjet GestOre.	pentru finalizarea regularizării cererii de înscriere în anul I de liceu pentru anul școlar 2026/2027 este necesară verificarea datelor personale introduse la înscriere și încărcarea documentației solicitate prin GestOre.	2026/2027 स्कूल वर्ष के लिए हाई स्कूल के पहले वर्ष में नामांकन के लिए आवेदन के नियमितीकरण को पूरा करने के लिए पंजीकरण के दौरान दर्ज किए गए व्यक्तिगत डेटा को सत्यापित करना और गेस्टओरे के माध्यम से आवश्यक दस्तावेज अपलोड करना आवश्यक है।	2026/2027 ਸਕੂਲੀ ਸਾਲ ਲਈ ਹਾਈ ਸਕੂਲ ਦੇ ਪਹਿਲੇ ਸਾਲ ਵਿੱਚ ਦਾਖਲੇ ਲਈ ਅਰਜ਼ੀ ਦੇ ਨਿਯਮਤਕਰਨ ਨੂੰ ਪੂਰਾ ਕਰਨ ਲਈ ਰਜਿਸਟਰੇਸ਼ਨ ਦੌਰਾਨ ਦਾਖਲ ਕੀਤੇ ਗਏ ਨਿੱਜੀ ਡੇਟਾ ਦੀ ਪੁਸ਼ਟੀ ਕਰਨਾ ਅਤੇ ਲੋੜੀਂਦੇ ਦਸਤਾਵੇਜ਼ਾਂ ਨੂੰ GestOre ਰਾਹੀਂ ਅੱਪਲੋਡ ਕਰਨਾ ਜ਼ਰੂਰੀ ਹੈ।	2026/2027 স্কুল বছরের জন্য হাই স্কুলের প্রথম বর্ষে নথিভুক্তির জন্য আবেদনের নিয়মিতকরণ সম্পূর্ণ করতে রেজিস্ট্রেশনের সময় প্রবেশ করা ব্যক্তিগত ডেটা যাচাই করা এবং GestOre-এর মাধ্যমে প্রয়োজনীয় ডকুমেন্টেশন আপলোড করা প্রয়োজন।	да би се завршила регуларизација пријаве за упис у прву годину средње школе за школску 2026/2027. годину потребно је проверити личне податке унете приликом регистрације и поставити потребну документацију путем ГестОре-а.	Za dovršetak regularizacije prijave za upis u prvi razred srednje škole za školsku godinu 2026./2027. potrebno je provjeriti osobne podatke unesene prilikom upisa i učitati traženu dokumentaciju putem GestOre-a.	2026/2027 öğretim yılı için lisenin ilk yılında kayıt başvurusunun normalleştirilmesinin tamamlanması için, kayıt sırasında girilen kişisel verilerin doğrulanması ve gerekli belgelerin GestOre aracılığıyla yüklenmesi gerekmektedir.	برای تکمیل منظم درخواست ثبت نام در سال اول دبیرستان برای سال تحصیلی 2026/2027، لازم است اطلاعات شخصی وارد شده در هنگام ثبت نام را تأیید کنید و مدارک مورد نیاز را از طریق GestOre بارگذاری کنید.	د 2026/2027 ښوونیز کال لپاره د عالي لیسې په لومړي کال کې د نوم لیکنې لپاره د غوښتنلیک منظم کولو بشپړولو لپاره دا اړینه ده چې د نوم لیکنې پرمهال داخل شوي شخصي معلومات تصدیق کړئ او د GestOre له لارې اړین اسناد اپلوډ کړئ.	upang makumpleto ang regularisasyon ng aplikasyon para sa pagpapatala sa unang taon ng mataas na paaralan para sa taong panuruan 2026/2027 kinakailangan na i-verify ang personal na data na ipinasok sa panahon ng pagpaparehistro at i-upload ang kinakailangang dokumentasyon sa pamamagitan ng GestOre.	w celu zakończenia legalizacji wniosku o przyjęcie do I klasy liceum na rok szkolny 2026/2027 konieczna jest weryfikacja danych osobowych podanych podczas rejestracji oraz przesłanie wymaganej dokumentacji poprzez GestOre.	для завершення упорядкування заяви про зарахування до першого курсу середньої школи на 2026/2027 навчальний рік необхідно перевірити особисті дані, введені під час реєстрації, і завантажити необхідну документацію через GestOre.	为了完成 2026/2027 学年高中一年级入学申请的规范化，需要验证注册时输入的个人数据并通过 GestOre 上传所需文件。	لاستكمال تنظيم طلب الالتحاق بالصف الأول الثانوي للعام الدراسي 2026/2027 لا بد من التحقق من البيانات الشخصية المدخلة أثناء التسجيل وتحميل الوثائق المطلوبة عبر GestOre.	2026/2027 تعلیمی سال کے لیے ہائی اسکول کے پہلے سال میں اندراج کے لیے درخواست کی ریگولرائزیشن کو مکمل کرنے کے لیے رجسٹریشن کے دوران درج کیے گئے ذاتی ڈیٹا کی تصدیق کرنا اور GestOre کے ذریعے مطلوبہ دستاویزات کو اپ لوڈ کرنا ضروری ہے۔
terze_intro	terze	per completare la regolarizzazione della domanda di iscrizione al terzo anno della scuola superiore per anno scolastico 2026/2027 e' necessario verificare i dati anagrafici inseriti in fase di iscrizione e caricare la documentazione richiesta tramite GestOre.	Primo paragrafo mail terze.	to complete the regularization of the application for enrollment in the third year of high school for the 2026/2027 school year it is necessary to verify the personal data entered during registration and upload the required documentation via GestOre.	pour finaliser la régularisation de la demande d'inscription en troisième année du lycée pour l'année scolaire 2026/2027, il est nécessaire de vérifier les données personnelles saisies lors de l'inscription et de télécharger la documentation requise via GestOre.	Um die Regularisierung des Antrags auf Einschreibung in das dritte Jahr des Gymnasiums für das Schuljahr 2026/2027 abzuschließen, ist es notwendig, die bei der Registrierung eingegebenen persönlichen Daten zu überprüfen und die erforderlichen Unterlagen über GestOre hochzuladen.	Para completar la regularización de la solicitud de matrícula de tercer año de bachillerato para el curso escolar 2026/2027 es necesario verificar los datos personales ingresados ​​durante la matrícula y cargar la documentación requerida a través de GestOre.	para concluir a regularização do pedido de matrícula no terceiro ano do ensino secundário para o ano letivo 2026/2027 é necessário verificar os dados pessoais inseridos durante a inscrição e fazer o upload da documentação exigida via GestOre.	Для завершения оформления заявления о зачислении на третий курс средней школы на 2026/2027 учебный год необходимо проверить введенные при регистрации персональные данные и загрузить необходимую документацию через GestOre.	për të përfunduar rregullimin e aplikimit për regjistrim në vitin e tretë të shkollës së mesme për vitin shkollor 2026/2027 është i nevojshëm verifikimi i të dhënave personale të futura gjatë regjistrimit dhe ngarkimi i dokumentacionit të kërkuar nëpërmjet GestOre.	pentru finalizarea regularizării cererii de înscriere în anul III de liceu pentru anul școlar 2026/2027 este necesară verificarea datelor personale introduse la înscriere și încărcarea documentației solicitate prin GestOre.	2026/2027 स्कूल वर्ष के लिए हाई स्कूल के तीसरे वर्ष में नामांकन के लिए आवेदन के नियमितीकरण को पूरा करने के लिए पंजीकरण के दौरान दर्ज किए गए व्यक्तिगत डेटा को सत्यापित करना और गेस्टओरे के माध्यम से आवश्यक दस्तावेज अपलोड करना आवश्यक है।	2026/2027 ਸਕੂਲੀ ਸਾਲ ਲਈ ਹਾਈ ਸਕੂਲ ਦੇ ਤੀਜੇ ਸਾਲ ਵਿੱਚ ਦਾਖਲੇ ਲਈ ਅਰਜ਼ੀ ਦੇ ਨਿਯਮਤਕਰਨ ਨੂੰ ਪੂਰਾ ਕਰਨ ਲਈ, ਰਜਿਸਟਰੇਸ਼ਨ ਦੌਰਾਨ ਦਾਖਲ ਕੀਤੇ ਗਏ ਨਿੱਜੀ ਡੇਟਾ ਦੀ ਪੁਸ਼ਟੀ ਕਰਨਾ ਅਤੇ ਲੋੜੀਂਦੇ ਦਸਤਾਵੇਜ਼ਾਂ ਨੂੰ GestOre ਰਾਹੀਂ ਅੱਪਲੋਡ ਕਰਨਾ ਜ਼ਰੂਰੀ ਹੈ।	2026/2027 স্কুল বছরের জন্য হাই স্কুলের তৃতীয় বর্ষে নথিভুক্তির জন্য আবেদনের নিয়মিতকরণ সম্পূর্ণ করতে নিবন্ধকরণের সময় প্রবেশ করা ব্যক্তিগত ডেটা যাচাই করতে হবে এবং প্রয়োজনীয় ডকুমেন্টেশনগুলি GestOre-এর মাধ্যমে আপলোড করতে হবে।	за завршетак регуларизације пријаве за упис у ИИИ годину средње школе за школску 2026/2027. годину потребно је проверити личне податке унете приликом регистрације и поставити потребну документацију путем ГестОре-а.	Za dovršetak regularizacije prijave za upis u treći razred srednje škole za školsku godinu 2026./2027. potrebno je provjeriti osobne podatke unesene prilikom upisa i učitati traženu dokumentaciju putem GestOre-a.	2026/2027 öğretim yılı için lise üçüncü sınıfa kayıt başvurusunun normalleştirilmesinin tamamlanması için, kayıt sırasında girilen kişisel verilerin doğrulanması ve gerekli belgelerin GestOre aracılığıyla yüklenmesi gerekmektedir.	برای تکمیل منظم درخواست ثبت نام در سال سوم دبیرستان برای سال تحصیلی 2026/2027، لازم است اطلاعات شخصی وارد شده در هنگام ثبت نام را تأیید کنید و مدارک مورد نیاز را از طریق GestOre بارگذاری کنید.	د 2026/2027 ښوونیز کال لپاره د عالي لیسې په دریم کال کې د نوم لیکنې لپاره د غوښتنلیک منظم کولو بشپړولو لپاره اړینه ده چې د نوم لیکنې پرمهال داخل شوي شخصي معلومات تصدیق کړئ او د GestOre له لارې اړین اسناد اپلوډ کړئ.	upang makumpleto ang regularisasyon ng aplikasyon para sa pagpapatala sa ikatlong taon ng mataas na paaralan para sa taong panuruan 2026/2027 kinakailangan na i-verify ang personal na data na ipinasok sa panahon ng pagpaparehistro at i-upload ang kinakailangang dokumentasyon sa pamamagitan ng GestOre.	w celu zakończenia legalizacji wniosku o przyjęcie do klasy III liceum na rok szkolny 2026/2027 konieczna jest weryfikacja danych osobowych podanych podczas rejestracji oraz przesłanie wymaganej dokumentacji poprzez GestOre.	для завершення упорядкування заяви про зарахування на третій курс середньої школи на 2026/2027 навчальний рік необхідно перевірити персональні дані, введені під час реєстрації, і завантажити необхідну документацію через GestOre.	为了完成 2026/2027 学年高中三年级入学申请的规范化，需要验证注册时输入的个人数据并通过 GestOre 上传所需文件。	لاستكمال تنظيم طلب الالتحاق بالصف الثالث الثانوي للعام الدراسي 2026/2027 لا بد من التحقق من البيانات الشخصية المدخلة أثناء التسجيل وتحميل الوثائق المطلوبة عبر GestOre.	2026/2027 تعلیمی سال کے لیے ہائی اسکول کے تیسرے سال میں اندراج کے لیے درخواست کی ریگولرائزیشن کو مکمل کرنے کے لیے رجسٹریشن کے دوران درج کیے گئے ذاتی ڈیٹا کی تصدیق کرنا اور GestOre کے ذریعے مطلوبہ دستاویزات کو اپ لوڈ کرنا ضروری ہے۔
personal_link_placeholder	common	Il link personale per accedere alla pratica e' riportato nella mail ricevuta dalla famiglia.	La pagina pubblica non contiene il link personale.	The personal link to access the file is reported in the email received from the family.	Le lien personnel pour accéder au dossier est signalé dans le mail reçu de la famille.	Der persönliche Link zum Zugriff auf die Datei ist in der von der Familie erhaltenen E-Mail angegeben.	El enlace personal para acceder al expediente se informa en el correo electrónico recibido de la familia.	O link pessoal para acesso ao arquivo está informado no e-mail recebido da família.	Персональная ссылка для доступа к файлу указана в электронном письме, полученном от семьи.	Lidhja personale për të hyrë në skedar raportohet në emailin e marrë nga familja.	Linkul personal pentru accesarea fișierului este raportat în e-mailul primit de la familie.	फ़ाइल तक पहुँचने का व्यक्तिगत लिंक परिवार से प्राप्त ईमेल में बताया गया है।	ਫਾਈਲ ਤੱਕ ਪਹੁੰਚ ਕਰਨ ਲਈ ਨਿੱਜੀ ਲਿੰਕ ਪਰਿਵਾਰ ਤੋਂ ਪ੍ਰਾਪਤ ਈਮੇਲ ਵਿੱਚ ਦੱਸਿਆ ਗਿਆ ਹੈ।	ফাইলটি অ্যাক্সেস করার ব্যক্তিগত লিঙ্কটি পরিবার থেকে প্রাপ্ত ইমেলে রিপোর্ট করা হয়েছে।	Лична веза за приступ датотеци је пријављена у имејлу примљеном од породице.	Osobna veza za pristup datoteci navedena je u e-poruci primljenoj od obitelji.	Dosyaya erişim için kişisel bağlantı, aileden alınan e-postada bildiriliyor.	پیوند شخصی برای دسترسی به فایل در ایمیل دریافت شده از خانواده گزارش شده است.	فایل ته د لاسرسي شخصي لینک د کورنۍ څخه ترلاسه شوي بریښنالیک کې راپور شوی.	Ang personal na link para ma-access ang file ay iniuulat sa email na natanggap mula sa pamilya.	Osobisty link umożliwiający dostęp do pliku znajduje się w wiadomości e-mail otrzymanej od rodziny.	Особисте посилання для доступу до файлу повідомляється в електронному листі, отриманому від родини.	从家人收到的电子邮件中报告了访问该文件的个人链接。	تم ذكر الرابط الشخصي للوصول إلى الملف في البريد الإلكتروني المستلم من العائلة.	فائل تک رسائی کا ذاتی لنک خاندان سے موصول ہونے والی ای میل میں بتایا گیا ہے۔
