chiave	testo_it	nota_contesto	en	fr	de	es	pt	ru	sq	ro	hi	pa	bn	sr	hr	tr	fa	ps	tl	pl	uk	zh	ar	ur
page_title	Conferma iscrizione	Titolo della pagina browser.	Confirm registration	Confirmer l'inscription	Registrierung bestätigen	Confirmar registro	Confirme o cadastro	Подтвердите регистрацию	Konfirmo regjistrimin	Confirmați înregistrarea	पंजीकरण की पुष्टि करें	ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਦੀ ਪੁਸ਼ਟੀ ਕਰੋ	নিবন্ধন নিশ্চিত করুন	Потврдите регистрацију	Potvrdite registraciju	Kayıt işlemini onaylayın	تأیید ثبت نام	نوم لیکنه تایید کړئ	Kumpirmahin ang pagpaparehistro	Potwierdź rejestrację	Підтвердити реєстрацію	确认注册	تأكيد التسجيل	رجسٹریشن کی تصدیق کریں۔
language	Linguaggio	Etichetta del menu per scegliere la lingua.	Language	Langue	Sprache	Idioma	Linguagem	Язык	Gjuha	Limbă	भाषा	ਭਾਸ਼ਾ	ভাষা	Језик	Jezik	Dil	زبان	ژبه	Wika	Język	Мова	语言	لغة	زبان
school_kicker	Istituto scolastico	Testo sopra il nome della scuola.	Educational institution	établissement d'enseignement	Bildungseinrichtung	institución educativa	Instituição educacional	Образовательное учреждение	Institucion arsimor	Instituție de învățământ	शैक्षिक संस्था	ਵਿਦਿਅਕ ਸੰਸਥਾ	শিক্ষা প্রতিষ্ঠান	Образовна институција	Obrazovna ustanova	Eğitim kurumu	موسسه آموزشی	تعلیمي اداره	Institusyong pang-edukasyon	Placówka edukacyjna	Навчальний заклад	教育机构	مؤسسة تعليمية	تعلیمی ادارہ
school_year	Anno scolastico	Etichetta seguita dall'anno, esempio 2026-27.	School year	Année scolaire	Schuljahr	Año escolar	Ano letivo	Учебный год	Viti shkollor	Anul școlar	स्कूल वर्ष	ਸਕੂਲ ਸਾਲ	শিক্ষাবর্ষ	Школска година	Školska godina	Okul yılı	سال تحصیلی	د ښوونځي کال	Taon ng pag-aaral	Rok szkolny	Навчальний рік	学年	العام الدراسي	تعلیمی سال
main_title	Conferma dati iscrizione	Titolo principale della pagina.	Confirm registration data	Confirmer les données d'inscription	Registrierungsdaten bestätigen	Confirmar datos de registro	Confirme os dados de registro.	Подтвердите регистрационные данные.	Konfirmo të dhënat e regjistrimit	Confirmați datele de înregistrare	पंजीकरण डेटा की पुष्टि करें	ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਡੇਟਾ ਦੀ ਪੁਸ਼ਟੀ ਕਰੋ	নিবন্ধনের তথ্য নিশ্চিত করুন	Потврдите податке о регистрацији	Potvrdite podatke za registraciju	Kayıt bilgilerini onaylayın	تأیید داده‌های ثبت‌نام	د نوم لیکنې معلومات تایید کړئ	Kumpirmahin ang datos ng pagpaparehistro	Potwierdź dane rejestracyjne	Підтвердьте реєстраційні дані	确认注册数据	تأكيد بيانات التسجيل	رجسٹریشن ڈیٹا کی تصدیق کریں۔
subtitle	Iscrizione al primo anno della scuola superiore	Sottotitolo. Non tradurre come scuola primaria o prima elementare.	Enrollment in the first year of high school	Inscription en première année du secondaire	Einschreibung ins erste Jahr der High School	Inscripción en el primer año de la escuela secundaria	Matrícula no primeiro ano do ensino médio	Зачисление в первый класс средней школы	Regjistrimi në vitin e parë të shkollës së mesme	Înscrierea în primul an de liceu	हाई स्कूल के पहले वर्ष में दाखिले के लिए आवेदन	ਹਾਈ ਸਕੂਲ ਦੇ ਪਹਿਲੇ ਸਾਲ ਵਿੱਚ ਦਾਖਲਾ	উচ্চ বিদ্যালয়ের প্রথম বর্ষে ভর্তি	Упис у прву годину средње школе	Upis u prvu godinu srednje škole	Lise birinci sınıfa kayıt	ثبت نام در سال اول دبیرستان	د لیسې په لومړي کال کې نوم لیکنه	Pagpapatala sa unang taon ng hayskul	Zapisy do pierwszej klasy liceum	Зарахування до першого курсу середньої школи	高中一年级入学	الالتحاق بالسنة الأولى من المدرسة الثانوية	ہائی اسکول کے پہلے سال میں اندراج
invalid_link	Link non valido, scaduto o pratica non disponibile.	Messaggio quando il link personale non funziona.	Invalid, expired link, or application unavailable.	Lien invalide ou expiré, ou application indisponible.	Ungültiger oder abgelaufener Link oder Anwendung nicht verfügbar.	Enlace inválido, caducado o aplicación no disponible.	Link inválido, expirado ou aplicativo indisponível.	Недействительная, устаревшая ссылка или недоступное приложение.	Lidhje e pavlefshme, e skaduar ose aplikacioni është i padisponueshëm.	Link invalid, expirat sau aplicație indisponibilă.	अमान्य, समाप्त हो चुका लिंक, या एप्लिकेशन अनुपलब्ध।	ਅਵੈਧ, ਮਿਆਦ ਪੁੱਗਿਆ ਲਿੰਕ, ਜਾਂ ਐਪਲੀਕੇਸ਼ਨ ਉਪਲਬਧ ਨਹੀਂ ਹੈ।	লিঙ্কটি অবৈধ বা মেয়াদোত্তীর্ণ, অথবা অ্যাপ্লিকেশনটি অনুপলব্ধ।	Неважећи, истекао линк или апликација није доступна.	Nevažeća, istekla poveznica ili aplikacija nije dostupna.	Geçersiz, süresi dolmuş bağlantı veya uygulama kullanılamıyor.	لینک نامعتبر، منقضی شده یا برنامه در دسترس نیست.	ناباوره، ختم شوی لینک، یا اپلیکیشن شتون نلري.	Hindi wasto, nag-expire na ang link, o hindi magagamit ang application.	Link nieprawidłowy, wygasły lub aplikacja niedostępna.	Недійсне, прострочене посилання або програма недоступна.	链接无效、已过期或应用程序不可用。	رابط غير صالح أو منتهي الصلاحية أو التطبيق غير متوفر.	غلط، میعاد ختم ہونے والا لنک، یا ایپلیکیشن دستیاب نہیں ہے۔
locked_notice	La conferma dati iscrizione è già stata inviata. Da questo link puoi consultare il riepilogo e i documenti caricati, ma non puoi più modificare la pratica.	Avviso per pratica già inviata.	The registration confirmation has already been sent. You can view the summary and uploaded documents from this link, but you can no longer make changes to your application.	La confirmation d'inscription a déjà été envoyée. Vous pouvez consulter le récapitulatif et les documents téléchargés via ce lien, mais vous ne pouvez plus modifier votre demande.	Die Registrierungsbestätigung wurde bereits versendet. Über diesen Link können Sie die Zusammenfassung und die hochgeladenen Dokumente einsehen, jedoch keine Änderungen mehr an Ihrer Bewerbung vornehmen.	Ya se ha enviado la confirmación de registro. Puede consultar el resumen y los documentos subidos desde este enlace, pero ya no podrá realizar cambios en su solicitud.	A confirmação de inscrição já foi enviada. Você pode visualizar o resumo e os documentos enviados por meio deste link, mas não poderá mais fazer alterações em sua inscrição.	Подтверждение регистрации уже отправлено. Вы можете просмотреть сводку и загруженные документы по этой ссылке, но вносить изменения в заявку больше нельзя.	Konfirmimi i regjistrimit është dërguar tashmë. Mund ta shikoni përmbledhjen dhe dokumentet e ngarkuara nga kjo lidhje, por nuk mund të bëni më ndryshime në aplikimin tuaj.	Confirmarea înregistrării a fost deja trimisă. Puteți vizualiza rezumatul și documentele încărcate accesând acest link, dar nu mai puteți face modificări la cererea dvs.	पंजीकरण की पुष्टि पहले ही भेज दी गई है। आप इस लिंक से सारांश और अपलोड किए गए दस्तावेज़ देख सकते हैं, लेकिन अब आप अपने आवेदन में कोई बदलाव नहीं कर सकते।	ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਪੁਸ਼ਟੀਕਰਨ ਪਹਿਲਾਂ ਹੀ ਭੇਜਿਆ ਜਾ ਚੁੱਕਾ ਹੈ। ਤੁਸੀਂ ਇਸ ਲਿੰਕ ਤੋਂ ਸਾਰਾਂਸ਼ ਅਤੇ ਅੱਪਲੋਡ ਕੀਤੇ ਦਸਤਾਵੇਜ਼ ਦੇਖ ਸਕਦੇ ਹੋ, ਪਰ ਤੁਸੀਂ ਹੁਣ ਆਪਣੀ ਅਰਜ਼ੀ ਵਿੱਚ ਬਦਲਾਅ ਨਹੀਂ ਕਰ ਸਕਦੇ।	নিবন্ধনের নিশ্চিতকরণ বার্তা ইতিমধ্যে পাঠানো হয়েছে। আপনি এই লিঙ্ক থেকে সারসংক্ষেপ এবং আপলোড করা নথিগুলো দেখতে পারবেন, কিন্তু আপনার আবেদনে আর কোনো পরিবর্তন করতে পারবেন না।	Потврда регистрације је већ послата. Можете погледати резиме и отпремљене документе преко овог линка, али више не можете правити измене у својој пријави.	Potvrda o registraciji je već poslana. Sažetak i prenesene dokumente možete pregledati putem ove poveznice, ali više ne možete unositi promjene u svoju prijavu.	Kayıt onayı zaten gönderildi. Özet bilgileri ve yüklediğiniz belgeleri bu bağlantıdan görüntüleyebilirsiniz, ancak başvurunuzda artık değişiklik yapamazsınız.	تأیید ثبت نام قبلاً ارسال شده است. می‌توانید خلاصه و مدارک آپلود شده را از این لینک مشاهده کنید، اما دیگر نمی‌توانید در درخواست خود تغییراتی ایجاد کنید.	د نوم لیکنې تایید لا دمخه لیږل شوی دی. تاسو کولی شئ د دې لینک څخه لنډیز او اپلوډ شوي اسناد وګورئ، مګر تاسو نور نشئ کولی په خپل غوښتنلیک کې بدلونونه راولیږئ.	Naipadala na ang kumpirmasyon ng pagpaparehistro. Maaari mong tingnan ang buod at mga na-upload na dokumento mula sa link na ito, ngunit hindi ka na maaaring gumawa ng mga pagbabago sa iyong aplikasyon.	Potwierdzenie rejestracji zostało już wysłane. Pod tym linkiem możesz wyświetlić podsumowanie i przesłane dokumenty, ale nie możesz już wprowadzać zmian w swoim wniosku.	Підтвердження реєстрації вже надіслано. Ви можете переглянути короткий виклад та завантажені документи за цим посиланням, але більше не можете вносити зміни до своєї заявки.	注册确认函已发送。您可以通过此链接查看摘要和已上传的文件，但无法再对申请进行任何修改。	تم إرسال تأكيد التسجيل بالفعل. يمكنك الاطلاع على الملخص والمستندات المرفوعة من خلال هذا الرابط، ولكن لا يمكنك إجراء أي تغييرات على طلبك.	رجسٹریشن کی تصدیق پہلے ہی بھیج دی گئی ہے۔ آپ اس لنک سے خلاصہ اور اپ لوڈ کردہ دستاویزات دیکھ سکتے ہیں، لیکن آپ اپنی درخواست میں مزید تبدیلیاں نہیں کر سکتے۔
intro_notice	Verifica i dati anagrafici e aggiorna email e telefoni. Puoi salvare una bozza e rientrare da questo stesso link prima dell'invio definitivo.	Istruzione iniziale per la famiglia.	Verify your personal information and update your email and phone numbers. You can save a draft and return to it from this same link before finalizing the submission.	Veuillez vérifier vos informations personnelles et mettre à jour votre adresse courriel et votre numéro de téléphone. Vous pouvez enregistrer un brouillon et y revenir ultérieurement via ce même lien avant de finaliser votre demande.	Bitte überprüfen Sie Ihre persönlichen Daten und aktualisieren Sie Ihre E-Mail-Adresse und Telefonnummer. Sie können einen Entwurf speichern und über denselben Link darauf zurückgreifen, bevor Sie die Übermittlung abschließen.	Verifica tu información personal y actualiza tu correo electrónico y número de teléfono. Puedes guardar un borrador y retomarlo desde este mismo enlace antes de enviarlo definitivamente.	Verifique suas informações pessoais e atualize seu e-mail e número de telefone. Você pode salvar um rascunho e retornar a ele a partir deste mesmo link antes de finalizar o envio.	Проверьте свои личные данные и обновите адрес электронной почты и номера телефонов. Вы можете сохранить черновик и вернуться к нему по этой же ссылке перед окончательным оформлением.	Verifikoni informacionin tuaj personal dhe përditësoni emailin dhe numrat e telefonit. Mund të ruani një draft dhe t'i riktheheni atij nga e njëjta lidhje përpara se të finalizoni dorëzimin.	Verificați-vă informațiile personale și actualizați-vă adresa de e-mail și numerele de telefon. Puteți salva o schiță și reveni la ea prin intermediul aceluiași link înainte de a finaliza trimiterea.	अपनी व्यक्तिगत जानकारी सत्यापित करें और अपना ईमेल और फ़ोन नंबर अपडेट करें। आप एक ड्राफ़्ट सहेज सकते हैं और सबमिशन को अंतिम रूप देने से पहले इसी लिंक से उस पर वापस आ सकते हैं।	ਆਪਣੀ ਨਿੱਜੀ ਜਾਣਕਾਰੀ ਦੀ ਪੁਸ਼ਟੀ ਕਰੋ ਅਤੇ ਆਪਣੇ ਈਮੇਲ ਅਤੇ ਫ਼ੋਨ ਨੰਬਰਾਂ ਨੂੰ ਅੱਪਡੇਟ ਕਰੋ। ਤੁਸੀਂ ਇੱਕ ਡਰਾਫਟ ਸੁਰੱਖਿਅਤ ਕਰ ਸਕਦੇ ਹੋ ਅਤੇ ਸਬਮਿਸ਼ਨ ਨੂੰ ਅੰਤਿਮ ਰੂਪ ਦੇਣ ਤੋਂ ਪਹਿਲਾਂ ਇਸੇ ਲਿੰਕ ਤੋਂ ਇਸ 'ਤੇ ਵਾਪਸ ਜਾ ਸਕਦੇ ਹੋ।	আপনার ব্যক্তিগত তথ্য যাচাই করুন এবং আপনার ইমেল ও ফোন নম্বর আপডেট করুন। জমাটি চূড়ান্ত করার আগে আপনি একটি খসড়া সংরক্ষণ করতে এবং এই একই লিঙ্ক থেকে সেটিতে ফিরে আসতে পারেন।	Верификујте своје личне податке и ажурирајте имејл адресу и број телефона. Можете сачувати нацрт и вратити се на њега преко истог линка пре него што завршите слање.	Potvrdite svoje osobne podatke i ažurirajte svoju adresu e-pošte i brojeve telefona. Nacrt možete spremiti i vratiti mu se putem iste poveznice prije nego što dovršite slanje.	Kişisel bilgilerinizi doğrulayın ve e-posta adresinizi ve telefon numaralarınızı güncelleyin. Taslağı kaydedebilir ve gönderimi tamamlamadan önce aynı bağlantıdan geri dönebilirsiniz.	اطلاعات شخصی خود را تأیید کنید و ایمیل و شماره تلفن خود را به‌روزرسانی کنید. می‌توانید پیش‌نویس را ذخیره کنید و قبل از نهایی کردن ارسال، از همین لینک به آن مراجعه کنید.	خپل شخصي معلومات تایید کړئ او خپل بریښنالیک او د تلیفون شمیرې تازه کړئ. تاسو کولی شئ یوه مسوده خوندي کړئ او د سپارلو بشپړولو دمخه له همدې لینک څخه بیرته هغې ته ورشئ.	I-verify ang iyong personal na impormasyon at i-update ang iyong email at numero ng telepono. Maaari mong i-save ang isang draft at balikan ito mula sa parehong link na ito bago tapusin ang pagsusumite.	Zweryfikuj swoje dane osobowe i zaktualizuj adres e-mail oraz numer telefonu. Możesz zapisać wersję roboczą i powrócić do niej za pomocą tego samego linku przed sfinalizowaniem zgłoszenia.	Перевірте свою особисту інформацію та оновіть електронну пошту й номери телефонів. Ви можете зберегти чернетку та повернутися до неї за цим самим посиланням, перш ніж завершити надсилання.	请核实您的个人信息并更新您的电子邮件地址和电话号码。您可以在提交前保存草稿，并通过此链接返回继续编辑。	يرجى التحقق من معلوماتك الشخصية وتحديث بريدك الإلكتروني وأرقام هاتفك. يمكنك حفظ مسودة والعودة إليها من هذا الرابط نفسه قبل إتمام عملية الإرسال.	اپنی ذاتی معلومات کی تصدیق کریں اور اپنے ای میل اور فون نمبرز کو اپ ڈیٹ کریں۔ آپ ایک مسودہ محفوظ کر سکتے ہیں اور جمع کرانے کو حتمی شکل دینے سے پہلے اسی لنک سے اس پر واپس جا سکتے ہیں۔
student	Studente	Titolo sezione dati studente.	Student	Étudiant	Student	Alumno	Estudante	Студент	Student	Student	विद्यार्थी	ਵਿਦਿਆਰਥੀ	ছাত্র	Студент	Student	Öğrenci	دانشجو	زده کوونکی	Estudyante	Student	Студент	学生	طالب	طالب علم
